team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
England,3,NA,NA,Ron Greenwood,Mick Mills,Bryan Robson · 1|Bryan Robson · 67|Paul Mariner · 83,44172,"San Mames, Bilbao",Antonio Garrido (Referee) · Gaston Castro (AR1) · Arnaldo Coelho (AR2),1982-06-16,Antonio Garrido,NA,First group stage,Spain,1982,Y,1
West Germany,1,NA,NA,Jupp Derwall,Karl-Heinz Rummenigge,Karl-Heinz Rummenigge · 67,42000,"El Molinon, Gijon",Enrique Labo Revoredo (Referee) · Gilberto Aristizabal Murcia (AR1) · Paolo Casarin (AR2),1982-06-16,Enrique Labo Revoredo,NA,First group stage,Spain,1982,Y,0
Spain,1,NA,NA,Jose Santamaria,Luis Arconada,Roberto López Ufarte (P) · 65,49562,"Luis Casanova, Valencia",Arturo Andres Ithurralde (Referee) · Bogdan Dotchev (AR1) · Luis Barrancos (AR2),1982-06-16,Arturo Andres Ithurralde,NA,First group stage,Spain,1982,Y,0.5
Peru,0,NA,NA,Tim,Rubén Toribio Díaz,NA,11000,"Riazor, La Coruï¿½A",Franz Woehrer (Referee) · Nicolae Rainea (AR1) · Adolf Prokop (AR2),1982-06-15,Franz Woehrer,NA,First group stage,Spain,1982,Y,0.5
Hungary,10,NA,NA,Kalman Meszoly,Tibor Nyilasi,Tibor Nyilasi · 4|Gábor Pölöskei · 11|László Fazekas · 23|József Tóth · 50|László Fazekas · 54|László Kiss · 69|Lázár Szentes · 70|László Kiss · 72|László Kiss · 76|Tibor Nyilasi · 83,23000,"Nuevo Estadio, Elche",Ebrahim Al Doy (Referee) · Charles Corver (AR1) · Henning Lund-Sorensen (AR2),1982-06-15,Ebrahim Al Doy,NA,First group stage,Spain,1982,Y,1
Scotland,5,NA,NA,Jock Stein,Danny McGrain,Kenny Dalglish · 18|John Wark · 29|John Wark · 32|John Robertson · 73|Steve Archibald · 79,36000,"La Rosaleda, Malaga",David Socha (Referee) · Thomson Tam Sun Chan (AR1) · Yusef Mohamed El Ghoul (AR2),1982-06-15,David Socha,NA,First group stage,Spain,1982,Y,1
Italy,0,NA,NA,Enzo Bearzot,Dino Zoff,NA,33000,"Estadio Municipal de Balaï¿½dos, Vigo",Michel Vautrot (Referee) · Adolf Prokop (AR1) · Nicolae Rainea (AR2),1982-06-14,Michel Vautrot,NA,First group stage,Spain,1982,Y,0.5
Brazil,2,NA,NA,Tele Santana,Sócrates,Sócrates · 75|Éder Aleixo de Assis · 88,68000,"Ramon Sanchez Pizjuan, Seville",Augusto Lamo Castillo (Referee) · Victoriano Sanchez Arminio (AR1) · Jose L. Garcia Carrion (AR2),1982-06-14,Augusto Lamo Castillo,NA,First group stage,Spain,1982,Y,1
Argentina,0,NA,NA,Cesar Luis Menotti,Daniel Passarella,NA,95000,"Camp Nou, Barcelona",Vojtech Christov (Referee) · Karoly Palotai (AR1) · Alojzy Jarguz (AR2),1982-06-13,Vojtech Christov,NA,First group stage,Spain,1982,Y,0
Argentina,3,NA,NA,Cesar Luis Menotti,Daniel Passarella,Mario Kempes · 38|Mario Kempes · 105|Daniel Bertoni · 115,71483,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Sergio Gonella (Referee) · Ramon Barreto Ruiz (AR1) · Erich Linemayr (AR2),1978-06-25,Sergio Gonella,Required Extra Time,Final,Argentina,1978,Y,1
Brazil,2,NA,NA,Claudio Coutinho,Émerson Leão,Nelinho · 64|Dirceu · 72,69659,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Abraham Klein (Referee) · Alfonso Gonzalez Archundia (AR1) · Karoly Palotai (AR2),1978-06-24,Abraham Klein,NA,Third-place match,Argentina,1978,Y,1
Netherlands,2,NA,NA,Ernst Happel,Ruud Krol,Ernie Brandts · 50|Arie Haan · 75,67433,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Angel Martinez (Referee) · Luis Pestarino (AR1) · Cesar Orozco Guerrero (AR2),1978-06-21,Angel Martinez,NA,Second round,Argentina,1978,Y,1
Austria,3,NA,NA,Helmut Senekowitsch,Robert Sara,Berti Vogts (OG) · 59|Hans Krankl · 66|Hans Krankl · 87,38318,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Abraham Klein (Referee) · Alojzy Jarguz (AR1) · Antonio Garrido (AR2),1978-06-21,Abraham Klein,NA,Second round,Argentina,1978,Y,1
Brazil,3,NA,NA,Claudio Coutinho,Émerson Leão,Nelinho · 12|Roberto Dinamite · 57|Roberto Dinamite · 63,39586,"San Martin, Mendoza",Juan Silvagno Cavanna (Referee) · Anatoly Ivanov (AR1) · Alfonso Gonzalez Archundia (AR2),1978-06-21,Juan Silvagno Cavanna,NA,Second round,Argentina,1978,Y,1
Argentina,6,NA,NA,Cesar Luis Menotti,Daniel Passarella,Mario Kempes · 21|Alberto Tarantini · 43|Mario Kempes · 48|Leopoldo Luque · 50|René Houseman · 67|Leopoldo Luque · 72,37315,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Robert Wurtz (Referee) · Ferdinand Biwersi (AR1) · Sergio Gonella (AR2),1978-06-21,Robert Wurtz,NA,Second round,Argentina,1978,Y,1
Poland,1,NA,NA,Jacek Gmoch,Kazimierz Deyna,Andrzej Szarmach · 65,35288,"San Martin, Mendoza",Pat Partridge (Referee) · Thomas Clive (AR1) · Charles Corver (AR2),1978-06-18,Pat Partridge,NA,Second round,Argentina,1978,Y,1
West Germany,2,NA,NA,Helmut Schoen,Berti Vogts,Rüdiger Abramczik · 3|Dieter Müller · 70,40750,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Ramon Barreto Ruiz (Referee) · Miguel Comesana (AR1) · Arnaldo Coelho (AR2),1978-06-18,Ramon Barreto Ruiz,NA,Second round,Argentina,1978,Y,0.5
Italy,1,NA,NA,Enzo Bearzot,Dino Zoff,Paolo Rossi · 14,66695,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Francis Rion (Referee) · Norberto Angel Coerezza (AR1) · Youssou Ndiaye (AR2),1978-06-18,Francis Rion,NA,Second round,Argentina,1978,Y,1
Argentina,0,NA,NA,Cesar Luis Menotti,Daniel Passarella,NA,37326,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Karoly Palotai (Referee) · Erich Linemayr (AR1) · Adolf Prokop (AR2),1978-06-18,Karoly Palotai,NA,Second round,Argentina,1978,Y,0.5
Netherlands,5,NA,NA,Ernst Happel,Ruud Krol,Ernie Brandts · 6|Rob Rensenbrink (P) · 35|Johnny Rep · 36|Johnny Rep · 53|Willy van de Kerkhof · 82,25050,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",John Gordon (Referee) · Arturo Andres Ithurralde (AR1) · Farouk Bouzo (AR2),1978-06-14,John Gordon,NA,Second round,Argentina,1978,Y,1
West Germany,0,NA,NA,Helmut Schoen,Berti Vogts,NA,67547,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Dusan Maksimovic (Referee) · Alfonso Gonzalez Archundia (AR1) · Miguel Comesana (AR2),1978-06-14,Dusan Maksimovic,NA,Second round,Argentina,1978,Y,0.5
Brazil,3,NA,NA,Claudio Coutinho,Émerson Leão,Dirceu · 15|Dirceu · 28|Zico (P) · 73,31278,"San Martin, Mendoza",Nicolae Rainea (Referee) · Jean Dubach (AR1) · Werner Winsemann (AR2),1978-06-14,Nicolae Rainea,NA,Second round,Argentina,1978,Y,1
Argentina,2,NA,NA,Cesar Luis Menotti,Daniel Passarella,Mario Kempes · 16|Mario Kempes · 71,37091,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Ulf Eriksson (Referee) · Jafar Namdar (AR1) · Tesfaye Gebreyesus Difue (AR2),1978-06-14,Ulf Eriksson,NA,Second round,Argentina,1978,Y,1
Brazil,1,NA,NA,Claudio Coutinho,Émerson Leão,Roberto Dinamite · 40,35221,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",Robert Wurtz (Referee) · Farouk Bouzo (AR1) · Tesfaye Gebreyesus Difue (AR2),1978-06-11,Robert Wurtz,NA,First round,Argentina,1978,Y,1
Spain,1,NA,NA,Ladislao Kubala,Juan Manuel Asensi,Juan Manuel Asensi · 75,42132,"Jose Amalfitani, Buenos Aires",Ferdinand Biwersi (Referee) · Arturo Andres Ithurralde (AR1) · Adolf Prokop (AR2),1978-06-11,Ferdinand Biwersi,NA,First round,Argentina,1978,Y,1
Peru,4,NA,NA,Marcos Calderon,Héctor Chumpitaz,José Velásquez · 2|Teófilo Cubillas (P) · 36|Teófilo Cubillas (P) · 39|Teófilo Cubillas · 79,21262,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Alojzy Jarguz (Referee) · Dusan Maksimovic (AR1) · Werner Winsemann (AR2),1978-06-11,Alojzy Jarguz,NA,First round,Argentina,1978,Y,1
Scotland,3,NA,NA,Alistair Macleod,Bruce Rioch,Kenny Dalglish · 44|Archie Gemmill (P) · 47|Archie Gemmill · 68,35130,"San Martin, Mendoza",Erich Linemayr (Referee) · Karoly Palotai (AR1) · Hedi Seoudi (AR2),1978-06-11,Erich Linemayr,NA,First round,Argentina,1978,Y,1
France,3,NA,NA,Michel Hidalgo,Marius Trésor,Christian Lopez · 22|Marc Berdoll · 37|Dominique Rocheteau · 42,23127,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",Arnaldo Coelho (Referee) · Pat Partridge (AR1) · Juan Silvagno Cavanna (AR2),1978-06-10,Arnaldo Coelho,NA,First round,Argentina,1978,Y,1
Poland,3,NA,NA,Jacek Gmoch,Kazimierz Deyna,Zbigniew Boniek · 43|Kazimierz Deyna · 56|Zbigniew Boniek · 84,22651,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Jafar Namdar (Referee) · Ulf Eriksson (AR1) · Charles Corver (AR2),1978-06-10,Jafar Namdar,NA,First round,Argentina,1978,Y,1
West Germany,0,NA,NA,Helmut Schoen,Berti Vogts,NA,30667,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Cesar Orozco Guerrero (Referee) · Miguel Comesana (AR1) · Luis Pestarino (AR2),1978-06-10,Cesar Orozco Guerrero,NA,First round,Argentina,1978,Y,0.5
Italy,1,NA,NA,Enzo Bearzot,Dino Zoff,Roberto Bettega · 67,71712,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Abraham Klein (Referee) · Alfonso Gonzalez Archundia (AR1) · Francis Rion (AR2),1978-06-10,Abraham Klein,NA,First round,Argentina,1978,Y,1
Austria,1,NA,NA,Helmut Senekowitsch,Robert Sara,Hans Krankl (P) · 42,41424,"Jose Amalfitani, Buenos Aires",Charles Corver (Referee) · Dusan Maksimovic (AR1) · Hedi Seoudi (AR2),1978-06-07,Charles Corver,NA,First round,Argentina,1978,Y,1
Brazil,0,NA,NA,Claudio Coutinho,Émerson Leão,NA,34771,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",Sergio Gonella (Referee) · Abraham Klein (AR1) · Arturo Andres Ithurralde (AR2),1978-06-07,Sergio Gonella,NA,First round,Argentina,1978,Y,0.5
Netherlands,0,NA,NA,Ernst Happel,Ruud Krol,NA,28125,"San Martin, Mendoza",Adolf Prokop (Referee) · Norberto Angel Coerezza (AR1) · Anatoly Ivanov (AR2),1978-06-07,Adolf Prokop,NA,First round,Argentina,1978,Y,0.5
Scotland,1,NA,NA,Alistair Macleod,Archie Gemmill,Andranik Eskandarian (OG) · 43,7938,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Youssou Ndiaye (Referee) · Nicolae Rainea (AR1) · Arnaldo Coelho (AR2),1978-06-07,Youssou Ndiaye,NA,First round,Argentina,1978,Y,0.5
Italy,3,NA,NA,Enzo Bearzot,Dino Zoff,Paolo Rossi · 34|Roberto Bettega · 36|Romeo Benetti · 60,26533,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",Ramon Barreto Ruiz (Referee) · Ferdinand Biwersi (AR1) · John Gordon (AR2),1978-06-06,Ramon Barreto Ruiz,NA,First round,Argentina,1978,Y,1
West Germany,6,NA,NA,Helmut Schoen,Berti Vogts,Dieter Müller · 15|Hansi Müller · 30|Karl-Heinz Rummenigge · 38|Heinz Flohe · 44|Karl-Heinz Rummenigge · 73|Heinz Flohe · 89,35258,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Farouk Bouzo (Referee) · Antonio Garrido (AR1) · Francis Rion (AR2),1978-06-06,Farouk Bouzo,NA,First round,Argentina,1978,Y,1
Poland,1,NA,NA,Jacek Gmoch,Kazimierz Deyna,Grzegorz Lato · 43,9624,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Angel Martinez (Referee) · Luis Pestarino (AR1) · Clive Thomas (AR2),1978-06-06,Angel Martinez,NA,First round,Argentina,1978,Y,1
Argentina,2,NA,NA,Cesar Luis Menotti,Daniel Passarella,Daniel Passarella (P) · 45|Leopoldo Luque · 73,71666,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Jean Dubach (Referee) · Cesar Orozco Guerrero (AR1) · Werner Winsemann (AR2),1978-06-06,Jean Dubach,NA,First round,Argentina,1978,Y,1
Sweden,1,NA,NA,Georg Ericson,Björn Nordqvist,Thomas Sjöberg · 37,32569,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",Clive Thomas (Referee) · Alojzy Jarguz (AR1) · Jafar Namdar (AR2),1978-06-03,Clive Thomas,NA,First round,Argentina,1978,Y,0.5
Austria,2,NA,NA,Helmut Senekowitsch,Robert Sara,Walter Schachner · 9|Hans Krankl · 76,40841,"Jose Amalfitani, Buenos Aires",Karoly Palotai (Referee) · Ramon Barreto Ruiz (AR1) · Anatoly Ivanov (AR2),1978-06-03,Karoly Palotai,NA,First round,Argentina,1978,Y,1
Peru,3,NA,NA,Marcos Calderon,Héctor Chumpitaz,César Cueto · 43|Teófilo Cubillas · 71|Teófilo Cubillas · 77,37927,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Ulf Eriksson (Referee) · Tesfaye Gebreyesus Difue (AR1) · Angel Martinez (AR2),1978-06-03,Ulf Eriksson,NA,First round,Argentina,1978,Y,1
Netherlands,3,NA,NA,Ernst Happel,Ruud Krol,Rob Rensenbrink (P) · 40|Rob Rensenbrink · 62|Rob Rensenbrink (P) · 79,33431,"San Martin, Mendoza",Alfonso Gonzalez Archundia (Referee) · Robert Wurtz (AR1) · Miguel Comesana (AR2),1978-06-03,Alfonso Gonzalez Archundia,NA,First round,Argentina,1978,Y,1
Italy,2,NA,NA,Enzo Bearzot,Dino Zoff,Paolo Rossi · 29|Renato Zaccarelli · 54,42373,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",Nicolae Rainea (Referee) · Erich Linemayr (AR1) · Juan Silvagno Cavanna (AR2),1978-06-02,Nicolae Rainea,NA,First round,Argentina,1978,Y,1
Tunisia,3,NA,NA,Abdelmajid Chetali,Témime Lahzami,Ali Kaabi · 55|Néjib Ghommidh · 79|Mokhtar Dhouieb · 87,17396,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",John Gordon (Referee) · Jean Dubach (AR1) · Sergio Gonella (AR2),1978-06-02,John Gordon,NA,First round,Argentina,1978,Y,1
Argentina,2,NA,NA,Cesar Luis Menotti,Daniel Passarella,Leopoldo Luque · 15|Daniel Bertoni · 83,71615,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Antonio Garrido (Referee) · Youssou Ndiaye (AR1) · Pat Partridge (AR2),1978-06-02,Antonio Garrido,NA,First round,Argentina,1978,Y,1
West Germany,0,NA,NA,Helmut Schoen,Berti Vogts,NA,67579,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Norberto Angel Coerezza (Referee) · Arturo Andres Ithurralde (AR1) · Miguel Comesana (AR2),1978-06-01,Norberto Angel Coerezza,NA,First round,Argentina,1978,Y,0.5
Netherlands,1,NA,NA,Rinus Michels,Johan Cruyff,Johan Neeskens (P) · 2,78200,"Olympiastadion, Munich",John Taylor (Referee) · Alfonso Gonzalez Archundia (AR1) · Ramon Barreto Ruiz (AR2),1974-07-07,John Taylor,NA,Final,Germany,1974,Y,0
Brazil,0,NA,NA,Mario Zagallo,Marinho Peres,NA,77100,"Olympiastadion, Munich",Aurelio Angonese (Referee) · Jafar Namdar (AR1) · Birame Ndiaye (AR2),1974-07-06,Aurelio Angonese,NA,Third-place match,Germany,1974,Y,0
Poland,0,NA,NA,Kazimierz Gorski,Kazimierz Deyna,NA,62000,"Waldstadion, Frankfurt/Main",Erich Linemayr (Referee) · Karoly Palotai (AR1) · Ruedi Scheurer (AR2),1974-07-03,Erich Linemayr,NA,Second round,Germany,1974,Y,0
Netherlands,2,NA,NA,Rinus Michels,Johan Cruyff,Johan Neeskens · 50|Johan Cruyff · 65,53700,"Westfalenstadion, Dortmund",Kurt Tschenscher (Referee) · Bob Davidson (AR1) · George Suppiah (AR2),1974-07-03,Kurt Tschenscher,NA,Second round,Germany,1974,Y,1
Argentina,1,NA,NA,Vladislao Cap,Enrique Wolff,René Houseman · 20,54254,"Parkstadion, Gelsenkirchen",John Taylor (Referee) · Mahmoud Kamel (AR1) · Clive Thomas (AR2),1974-07-03,John Taylor,NA,Second round,Germany,1974,Y,0.5
Sweden,2,NA,NA,Georg Ericson,Björn Nordqvist,Ralf Edström · 29|Conny Torstensson · 85,41300,"Rheinstadion, Dï¿½Sseldorf",Luis Pestarino (Referee) · Ramon Barreto Ruiz (AR1) · Vicente Llobregat (AR2),1974-07-03,Luis Pestarino,NA,Second round,Germany,1974,Y,1
Poland,2,NA,NA,Kazimierz Gorski,Kazimierz Deyna,Kazimierz Deyna (P) · 24|Grzegorz Lato · 62,58000,"Waldstadion, Frankfurt/Main",Rudolf Gloeckner (Referee) · Armando Marques (AR1) · Werner Winsemann (AR2),1974-06-30,Rudolf Gloeckner,NA,Second round,Germany,1974,Y,1
Argentina,1,NA,NA,Vladislao Cap,Miguel Ángel Brindisi,Miguel Ángel Brindisi · 35,39400,"Niedersachsenstadion, Hanover",Vital Loraux (Referee) · Birame Ndiaye (AR1) · John Taylor (AR2),1974-06-30,Vital Loraux,NA,Second round,Germany,1974,Y,0
Germany DR,0,NA,NA,Georg Buschner,Bernd Bransch,NA,68348,"Parkstadion, Gelsenkirchen",Ruedi Scheurer (Referee) · Erich Linemayr (AR1) · Omar Delgado (AR2),1974-06-30,Ruedi Scheurer,NA,Second round,Germany,1974,Y,0
West Germany,4,NA,NA,Helmut Schoen,Franz Beckenbauer,Wolfgang Overath · 51|Rainer Bonhof · 52|Jürgen Grabowski · 76|Uli Hoeneß (P) · 89,67800,"Rheinstadion, Dï¿½Sseldorf",Pavel Kazakov (Referee) · Nicolae Rainea (AR1) · Pablo Sanchez Ibanez (AR2),1974-06-30,Pavel Kazakov,NA,Second round,Germany,1974,Y,1
Yugoslavia,0,NA,NA,Miljan Miljanic,Dragan Džajić,NA,67385,"Rheinstadion, Dï¿½Sseldorf",Armando Marques (Referee) · Aurelio Angonese (AR1) · Edison A. Perez Nunez (AR2),1974-06-26,Armando Marques,NA,Second round,Germany,1974,Y,0
Brazil,1,NA,NA,Mario Zagallo,Marinho Peres,Rivellino · 60,59863,"Niedersachsenstadion, Hanover",Clive Thomas (Referee) · Dogan Babacan (AR1) · Tony Boskovic (AR2),1974-06-26,Clive Thomas,NA,Second round,Germany,1974,Y,1
Sweden,0,NA,NA,Georg Ericson,Bo Larsson,NA,44955,"Neckarstadion, Stuttgart",Ramon Barreto Ruiz (Referee) · Alfonso Gonzalez Archundia (AR1) · Luis Pestarino (AR2),1974-06-26,Ramon Barreto Ruiz,NA,Second round,Germany,1974,Y,0
Netherlands,4,NA,NA,Rinus Michels,Johan Cruyff,Johan Cruyff · 10|Ruud Krol · 25|Johnny Rep · 73|Johan Cruyff · 90,56548,"Parkstadion, Gelsenkirchen",Bob Davidson (Referee) · Kurt Tschenscher (AR1) · Pavel Kazakov (AR2),1974-06-26,Bob Davidson,NA,Second round,Germany,1974,Y,1
Bulgaria,1,NA,NA,Hristo Mladenov,Hristo Bonev,Ruud Krol (OG) · 78,53300,"Westfalenstadion, Dortmund",Tony Boskovic (Referee) · Ferdinand Biwersi (AR1) · Walter Eschweiler (AR2),1974-06-23,Tony Boskovic,NA,First round,Germany,1974,Y,0
Poland,2,NA,NA,Kazimierz Gorski,Kazimierz Deyna,Andrzej Szarmach · 38|Kazimierz Deyna · 44,70100,"Neckarstadion, Stuttgart",Hans Joachim Weyland (Referee) · Werner Winsemann (AR1) · Gerhard Schulenburg (AR2),1974-06-23,Hans Joachim Weyland,NA,First round,Germany,1974,Y,1
Sweden,3,NA,NA,Georg Ericson,Bo Larsson,Ralf Edström · 46|Roland Sandberg · 74|Ralf Edström · 77,28300,"Rheinstadion, Dï¿½Sseldorf",Erich Linemayr (Referee) · Vicente Llobregat (AR1) · Heinz Aldinger (AR2),1974-06-23,Erich Linemayr,NA,First round,Germany,1974,Y,1
Argentina,4,NA,NA,Vladislao Cap,Roberto Perfumo,Héctor Yazalde · 15|René Houseman · 18|Rubén Ayala · 55|Héctor Yazalde · 68,25900,"Olympiastadion, Munich",Pablo Sanchez Ibanez (Referee) · Mahmoud Kamel (AR1) · Birame Ndiaye (AR2),1974-06-23,Pablo Sanchez Ibanez,NA,First round,Germany,1974,Y,1
Scotland,1,NA,NA,Willie Ormond,Billy Bremner,Joe Jordan · 88,56000,"Waldstadion, Frankfurt/Main",Alfonso Gonzalez Archundia (Referee) · Rudolf Gloeckner (AR1) · Kurt Tschenscher (AR2),1974-06-22,Alfonso Gonzalez Archundia,NA,First round,Germany,1974,Y,0.5
Australia,0,NA,NA,Rale Rasic,Peter Wilson,Ray Richards · 83,17400,"Olympiastadion, Berlin West",Jafar Namdar (Referee) · Vital Loraux (AR1) · Arie Van Gemert (AR2),1974-06-22,Jafar Namdar,NA,First round,Germany,1974,Y,0.5
Zaire,0,NA,NA,Blagoje Vidinic,Kidumu Mantantu,NA,36200,"Parkstadion, Gelsenkirchen",Nicolae Rainea (Referee) · Aurelio Angonese (AR1) · Klaus Ohmsen (AR2),1974-06-22,Nicolae Rainea,NA,First round,Germany,1974,Y,0
Germany DR,1,NA,NA,Georg Buschner,Bernd Bransch,Jürgen Sparwasser · 77,60200,"Volksparkstadion, Hamburg",Ramon Barreto Ruiz (Referee) · Armando Marques (AR1) · Luis Pestarino (AR2),1974-06-22,Ramon Barreto Ruiz,NA,First round,Germany,1974,Y,1
Haiti,0,NA,NA,Antoine Tassy,Wilner Nazaire,NA,25300,"Olympiastadion, Munich",George Suppiah (Referee) · Ferdinand Biwersi (AR1) · Walter Eschweiler (AR2),1974-06-19,George Suppiah,NA,First round,Germany,1974,Y,0
Bulgaria,1,NA,NA,Hristo Mladenov,Hristo Bonev,Hristo Bonev · 75,13400,"Niedersachsenstadion, Hanover",John Taylor (Referee) · Dogan Babacan (AR1) · Klaus Ohmsen (AR2),1974-06-19,John Taylor,NA,First round,Germany,1974,Y,0.5
Netherlands,0,NA,NA,Rinus Michels,Johan Cruyff,NA,53700,"Westfalenstadion, Dortmund",Werner Winsemann (Referee) · Kurt Tschenscher (AR1) · Clive Thomas (AR2),1974-06-19,Werner Winsemann,NA,First round,Germany,1974,Y,0.5
Argentina,1,NA,NA,Vladislao Cap,Roberto Perfumo,René Houseman · 19,70100,"Neckarstadion, Stuttgart",Pavel Kazakov (Referee) · Rudolf Gloeckner (AR1) · Nicolae Rainea (AR2),1974-06-19,Pavel Kazakov,NA,First round,Germany,1974,Y,0.5
Australia,0,NA,NA,Rale Rasic,Peter Wilson,NA,53300,"Volksparkstadion, Hamburg",Mahmoud Kamel (Referee) · Alfonso Gonzalez Archundia (AR1) · Edison A. Perez Nunez (AR2),1974-06-18,Mahmoud Kamel,NA,First round,Germany,1974,Y,0
Yugoslavia,9,NA,NA,Miljan Miljanic,Dragan Džajić,Dušan Bajević · 8|Dragan Džajić · 14|Ivica Šurjak · 18|Josip Katalinski · 22|Dušan Bajević · 30|Vladislav Bogićević · 35|Branko Oblak · 61|Ilija Petković · 65|Dušan Bajević · 81,31700,"Parkstadion, Gelsenkirchen",Omar Delgado (Referee) · Vicente Llobregat (AR1) · Ramon Barreto Ruiz (AR2),1974-06-18,Omar Delgado,NA,First round,Germany,1974,Y,1
Chile,1,NA,NA,Luis Alamos,Francisco Valdés,Sergio Ahumada · 69,28300,"Olympiastadion, Berlin West",Aurelio Angonese (Referee) · Ruedi Scheurer (AR1) · Bob Davidson (AR2),1974-06-18,Aurelio Angonese,NA,First round,Germany,1974,Y,0.5
Scotland,0,NA,NA,Willie Ormond,Billy Bremner,NA,62000,"Waldstadion, Frankfurt/Main",Arie Van Gemert (Referee) · Karoly Palotai (AR1) · Erich Linemayr (AR2),1974-06-18,Arie Van Gemert,NA,First round,Germany,1974,Y,0.5
Uruguay,0,NA,NA,Roberto Porta,Juan Carlos Masnik,Julio Montero Castillo · 69,55100,"Niedersachsenstadion, Hanover",Karoly Palotai (Referee) · Pavel Kazakov (AR1) · Nicolae Rainea (AR2),1974-06-15,Karoly Palotai,NA,First round,Germany,1974,Y,0
Sweden,0,NA,NA,Georg Ericson,Bo Larsson,NA,23800,"Rheinstadion, Dï¿½Sseldorf",Edison A. Perez Nunez (Referee) · Alfonso Gonzalez Archundia (AR1) · George Suppiah (AR2),1974-06-15,Edison A. Perez Nunez,NA,First round,Germany,1974,Y,0.5
Italy,3,NA,NA,Ferruccio Valcareggi,Giacinto Facchetti,Gianni Rivera · 52|Romeo Benetti · 66|Pietro Anastasi · 79,53000,"Olympiastadion, Munich",Vicente Llobregat (Referee) · Jafar Namdar (AR1) · Armando Marques (AR2),1974-06-15,Vicente Llobregat,NA,First round,Germany,1974,Y,1
Poland,3,NA,NA,Kazimierz Gorski,Kazimierz Deyna,Grzegorz Lato · 7|Andrzej Szarmach · 8|Grzegorz Lato · 62,32700,"Neckarstadion, Stuttgart",Clive Thomas (Referee) · Heinz Aldinger (AR1) · Bob Davidson (AR2),1974-06-15,Clive Thomas,NA,First round,Germany,1974,Y,1
West Germany,1,NA,NA,Helmut Schoen,Franz Beckenbauer,Paul Breitner · 18,81100,"Olympiastadion, Berlin West",Dogan Babacan (Referee) · John Taylor (AR1) · Werner Winsemann (AR2),1974-06-14,Dogan Babacan,NA,First round,Germany,1974,Y,1
