team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
Spain,2,NA,NA,Jose Santamaria,Luis Arconada,Juanito (P) · 14|Enrique Saura · 66,48000,"Luis Casanova, Valencia",Henning Lund-Sorensen (Referee) · Antonio Garrido (AR1) · Arturo Andres Ithurralde (AR2),1982-06-20,Henning Lund-Sorensen,NA,First group stage,Spain,1982,Y,1
Poland,0,NA,NA,Antoni Piechniczek,Władysław Żmuda,NA,19000,"Riazor, La Coruï¿½A",Alexis Ponnet (Referee) · Walter Eschweiler (AR1) · Mario Rubio Vazquez (AR2),1982-06-19,Alexis Ponnet,NA,First group stage,Spain,1982,Y,0.5
Soviet Union,3,NA,NA,Konstantin Beskov,Aleksandre Chivadze,Yuri Gavrilov · 24|Oleh Blokhin · 48|Sergei Pavlovich Baltacha · 68,19000,"La Rosaleda, Malaga",Yusef Mohamed El Ghoul (Referee) · Emilio Soriano Aladren (AR1) · Clive White (AR2),1982-06-19,Yusef Mohamed El Ghoul,NA,First group stage,Spain,1982,Y,1
Belgium,1,NA,NA,Guy Thys,Eric Gerets,Ludo Coeck · 19,15000,"Nuevo Estadio, Elche",Malcolm Moffatt (Referee) · Gaston Castro (AR1) · Alojzy Jarguz (AR2),1982-06-19,Malcolm Moffatt,NA,First group stage,Spain,1982,Y,1
Italy,1,NA,NA,Enzo Bearzot,Dino Zoff,Bruno Conti · 18,25000,"Estadio Municipal de Balaï¿½dos, Vigo",Walter Eschweiler (Referee) · Mario Rubio Vazquez (AR1) · Abraham Klein (AR2),1982-06-18,Walter Eschweiler,NA,First group stage,Spain,1982,Y,0.5
Brazil,4,NA,NA,Tele Santana,Sócrates,Zico · 33|Oscar · 48|Éder Aleixo de Assis · 63|Paulo Roberto Falcão · 87,47379,"Benito Villamarin, Seville",Jesus Paulino Siles (Referee) · Thomson Tam Sun Chan (AR1) · Adolf Prokop (AR2),1982-06-18,Jesus Paulino Siles,NA,First group stage,Spain,1982,Y,1
Argentina,4,NA,NA,Cesar Luis Menotti,Daniel Passarella,Daniel Bertoni · 26|Diego Maradona · 28|Diego Maradona · 57|Osvaldo Ardiles · 60,32093,"Jose Rico Perez, Alicante",Belaid Lacarne (Referee) · Michel Vautrot (AR1) · Nicolae Rainea (AR2),1982-06-18,Belaid Lacarne,NA,First group stage,Spain,1982,Y,1
Chile,0,NA,NA,Luis Alberto Santibanez,Elías Figueroa,NA,22500,"Carlos Tartiere, Oviedo",Juan Cardellino De San Vicente (Referee) · Paolo Casarin (AR1) · Gilberto Aristizabal Murcia (AR2),1982-06-17,Juan Cardellino De San Vicente,NA,First group stage,Spain,1982,Y,0
Czechoslovakia,1,NA,NA,Jozef Venglos,Zdeněk Nehoda,Antonín Panenka (P) · 21,25000,"Jose Zorrilla, Valladolid",Benjamin Dwomoh (Referee) · Romulo Mendez Molina (AR1) · Robert Valentine (AR2),1982-06-17,Benjamin Dwomoh,NA,First group stage,Spain,1982,Y,0.5
Yugoslavia,0,NA,NA,Miljan Miljanic,Ivica Šurjak,NA,25000,"La Romareda, Zaragoza",Erik Fredriksson (Referee) · Bruno Galler (AR1) · Karoly Palotai (AR2),1982-06-17,Erik Fredriksson,NA,First group stage,Spain,1982,Y,0.5
